CID	ORF	Gene
0	YGR027C	RPS25A
	YDL136W	RPL35B
	YGR245C	SDA1
	YOL120C	RPL18A
	YNL069C	RPL16B
	YGR272C	YGR272C
	YOR234C	RPL33B
	YDR350C	TCM10
	YLR287CA	YLR287CA
	YPL043W	NOP4
	YKL180W	RPL17A
	YPL131W	RPL5
	YHL033C	RPL8A
	YFR032CA	YFR032CA
	YHL015W	RPS20
	YLR276C	DBP9
	YHR088W	RPF1
	YDR382W	RPP2B
	YNL175C	NOP13
	YML063W	RPS1B
	YPL093W	NOG1
	YGL076C	RPL7A
	YOL040C	RPS15
	YER074W	RPS24A
	YGL030W	RPL30
	YOR272W	YTM1
	YBL092W	RPL32
	YMR290C	HAS1
	YLL045C	RPL8B
	YNL110C	NOP15
	YPL249CA	YPL249CA
	YOR294W	RRS1
	YGL031C	RPL24A
	YBR159W	YBR159W
	YKL009W	MRT4
	YFR001W	LOC1
	YBR084W	MIS1
	YOR252W	YOR252W
	YLR441C	RPS1A
	YBR205W	KTR3
	YBR142W	MAK5
	YBR084CA	YBR084CA
	YOL077C	BRX1
	YBR181C	RPS6B
	YPL220W	RPL1A
	YGL014W	PUF4
	YGL123W	RPS2
	YLR106C	MDN1
	YLR150W	STM1
	YPR067W	ISA2
	YER006W	NUG1
	YKR081C	RPF2
	YHR010W	RPL27A
	YCR072C	YCR072C
	YFL002C	SPB4
	YGR103W	NOP7
	YLR449W	FPR4
	YLL034C	YLL034C
	YNL096C	RPS7B
	YGL189C	RPS26A
	YLR075W	RPL10
	YKL006W	RPL14A
	YDR418W	RPL12B
	YHR029C	YHR029C
	YPL009C	YPL009C
	YMR229C	RRP5
	YDR060W	MAK21
	YOR206W	NOC2
	YLR287C	YLR287C
	YDR012W	RPL4B
	YPL239W	YAR1
	YEL054C	RPL12A
	YEL026W	SNU13
	YDR496C	PUF6
	YOL127W	RPL25
	YDL082W	RPL13A
	YLR185W	RPL37A
	YIL133C	RPL16A
	YNL302C	RPS19B
	YNL002C	RLP7
	YKL046C	DCW1
	YPL143W	RPL33A
	YGL147C	RPL9A
	YLL008W	DRS1
	YIL069C	RPS24B
	YBR153W	RIB7
	YLR406C	RPL31B
	YBL027W	RPL19B
	YHR141C	RPL42B
	YBR031W	RPL4A
	YNL067W	RPL9B
	YPR102C	RPL11A
	YJL191W	RPS14B
	YGR118W	RPS23A
	YGR034W	RPL26B
	YJR094WA	YJR094WA
	YGL135W	RPL1B
	YLR448W	RPL6B
	YDL031W	DBP10
	YMR194W	RPL36A
	YMR142C	RPL13B
	YDR351W	SBE2
	YDR101C	ARX1
	YOR063W	RPL3
	YHR203C	RPS4B
	YPL090C	RPS6A
	YLR002C	NOC3
	YOR198C	BFR1
	YML073C	RPL6A
	YLR432W	IMD3
	YOL039W	RPP2A
	YHL001W	RPL14B
	YLR340W	RPP0
	YLR196W	PWP1
	YNL182C	IPI3
	YGL103W	RPL28
	YMR052W	FAR3
	YDL083C	RPS16B
	YLR325C	RPL38
	YNL112W	DBP2
	YHR085W	IPI1
	YNL301C	RPL18B
	YLL023C	YLL023C
	YPL198W	RPL7B
	YNL061W	NOP2
	YKR024C	DBP7
	YJL177W	RPL17B
	YGR126W	YGR126W
	YNR053C	NOG2
	YHR197W	IPI2
	YGL111W	NSA1
	YMR242C	RPL20A
	YDR447C	RPS17B
	YJR123W	RPS5
	YLR029C	RPL15A
	YMR049C	ERB1
	YKL172W	EBP2
	YDR471W	RPL27B
	YFR031CA	YFR031CA
	YOL041C	NOP12
	YDR087C	RRP1
	YNL178W	RPS3
	YLR344W	RPL26A
	YOR312C	RPL20B
	YJL190C	RPS22A
	YDR450W	RPS18A
	YCR031C	RPS14A
	YIL018W	RPL2B
	YLR074C	BUD20
	YPR016C	TIF6
	YCL054W	SPB1
	YDL081C	RPP1A
	YPL211W	NIP7
	YDL075W	RPL31A
	YER126C	NSA2
	YBR191W	RPL21A
	YMR143W	RPS16A
	YGR085C	RPL11B
	YHR052W	CIC1
	YJR145C	RPS4A
	YBR048W	RPS11B
	YDR064W	RPS13
	YPL012W	RRP12
	YOR096W	RPS7A
	YBL072C	RPS8A
	YBR189W	RPS9B
	YLR367W	RPS22B
	YDR025W	RPS11A
	YNL132W	KRE33
	YER102W	RPS8B
	YIL069C	RPS24B
	YJL190C	RPS22A
	YOR204W	DED1
	YDL014W	NOP1
