Complex ID	Complex Size	Complex
1	83	"ackA, acnB, arcB, atpE, bamA, bamB, bamD, bamE, clpB, cysQ, degP, dksA, dsbA, dsbC, eda, fklB, flu, ghrB, glgB, glk, glmU, glyQ, glyS, gyrB, hemX, hflC, hflD, hflK, hflX, hfq, hslU, hslV, lolA, malQ, mlaF, msrA, murA, narP, ndh, nusB, otsA, purA, purB, pykA, rdgC, ribE, rne, rnr, rodZ, roxA, rpoS, rseB, rsmA, secD, secF, secG, skp, slyD, sspA, sspB, surA, tamA, tamB, tatA, thiL, tpx, ubiE, wrbA, yajC, ybgI, yceH, yfgM, ygfZ, yggX, yraP, sodA, ybdK, yhgF, lptF, osmY, yjgA, rraB, treC"
2	54	"amiC, ampH, apbE, baeS, clsA, cusS, cydC, cydD, cyoC, dacD, dppA, dppB, fkpA, ftsI, ftsW, ftsY, glpQ, gspF, lgt, livK, lptD, macA, mdtB, mlaF, mraY, mrdA, mreC, msbA, nuoA, ompW, pgsA, pstC, rpoB, rpoC, secE, secY, tap, tbpA, tcyJ, torY, trg, wcaJ, yaaU, yfeW, ygiH, yiaD, yicJ, yihN, yobA, znuA, fhuA, fliL, alsB, cirA"
3	48	"ansB, bamA, clpX, copA, cydB, dnaJ, dppA, dppB, ftsX, ftsY, fusA, gapA, glpD, icd, ihfB, kch, lolD, lpxD, mdtC, minD, mltB, mrdA, mreC, msbA, pgsA, phoR, prc, pstS, recA, rne, rpoA, secD, secG, secY, tig, tolC, udp, yiaD, fdnH, ubiD, mdtE, dgcE, rpoC, hfq, mgtA, glpF, dacB, mdh"
4	40	"atpF, bamA, cyoA, cyoB, fetB, fhuB, ggt, gsiC, gsiD, lgt, macA, mdtB, mrdA, narX, nuoA, nuoB, nuoI, nuoK, nuoL, nuoM, nuoN, oppB, oppC, phoR, pstS, rbsB, rna, wcaJ, yehU, yobA, yojI, ddpC, ytfL, mltB, mgtA, dppB, rbsC, yihY, yqhA, yjbB"
5	38	"carA, fabD, gcvP, glnS, guaA, ldhA, msbA, pdxJ, prfB, sucD, tyrS, argS, aroK, aspS, atpB, bcp, dapA, fabA, gcvH, glgC, gltX, hemB, metG, mlaF, ndk, pck, pepD, ribB, ribC, rimM, speB, tktB, zwf, gpmM, dut, efp, purH, rimP"
6	37	"apbE, atpC, atpF, atpH, bamA, ccmG, cpoB, cusA, cyoA, cyoB, cyoC, fhuB, fsr, ggt, macA, mdlA, mppA, nuoA, nuoN, oppB, oppC, pstS, rstB, tcyJ, tolB, tolQ, tolR, ybaL, yfdH, yobA, yraP, znuA, zupT, atpB, atpE, dsbA, rbsB"
7	30	"carA, carB, leuS, purC, pyrI, yadH, allC, bcp, btuE, dppA, fabD, fmt, folD, map, msrB, pepN, phnD, preA, prlC, purH, purM, ribB, ribC, rluD, serA, thiL, yaiE, ymdB, pyrB, mlaA"
8	29	"adeP, ampH, bacA, bamA, bamD, clsA, copA, fliR, ftsI, gadC, infB, kch, lgt, macA, mdtB, mltB, oppB, plsC, pnp, potD, pstS, secD, secG, ugpE, yeeO, lolC, glpF, osmY, yiaD"
9	26	"appC, brnQ, clpX, cydB, cyoA, cyoB, lon, lptD, msbA, nusB, plaP, ribE, secD, secF, tig, yajC, acrB, add, alaS, metK, ndh, proP, recA, trxA, ubiE, ugpC"
10	23	"aas, baeS, dauA, ftsI, ftsX, gapA, macA, mdtB, mppA, mraY, oppB, pgk, prc, proW, secG, secY, ybiO, corA, ftsY, cpdB, dppB, nikA, xylF"
