Entry	Entry name	Gene names
P0AA91	YEAY_ECOLI	yeaY b1806 JW1795
P0AA16	OMPR_ECOLI	ompR kmt ompB b3405 JW3368
P64463	YDFZ_ECOLI	ydfZ b1541 JW1534
P26458	APPB_ECOLI	appB cbdB cyxB b0979 JW0961
P0ABD1	YEAV_ECOLI	yeaV b1801 JW5293
P0AF86	YJFY_ECOLI	yjfY b4199 JW4157
P33916	YEJF_ECOLI	yejF b2180 JW2168
P77398	ARNA_ECOLI	arnA pmrI yfbG b2255 JW2249
P0A749	MURA_ECOLI	murA murZ b3189 JW3156
P45756	GSPA_ECOLI	gspA yheD b3323 JW3285
P43531	YNFM_ECOLI	ynfM yzyC b1596 JW1588
P0A8D0	NRDR_ECOLI	nrdR ybaD b0413 JW0403
P0AA78	EXUT_ECOLI	exuT b3093 JW3064
P07014	SDHB_ECOLI	sdhB b0724 JW0714
P77562	YAIW_ECOLI	yaiW b0378 JW0369
P0A9N4	PFLA_ECOLI	pflA act b0902 JW0885
P09152	NARG_ECOLI	narG bisD narC b1224 JW1215
P0A825	GLYA_ECOLI	glyA b2551 JW2535
P76108	YDCS_ECOLI	ydcS b1440 JW1435
P0A7G6	RECA_ECOLI	recA lexB recH rnmB tif umuB zab b2699 JW2669
P0AGJ5	YFIF_ECOLI	yfiF b2581 JW2565
P0ADP0	YIGB_ECOLI	yigB b3812 JW3785
P39381	YJIJ_ECOLI	yjiJ b4332 JW4295
P38038	CYSJ_ECOLI	cysJ b2764 JW2734
P33224	AIDB_ECOLI	aidB b4187 JW5867
P0AEB0	CYSW_ECOLI	cysW b2423 JW2416
P68187	MALK_ECOLI	malK b4035 JW3995
P76219	YDJX_ECOLI	ydjX b1750 JW1739
P36929	RSMB_ECOLI	rsmB fmu/fmv rrmB sun yhdB b3289 JW3250
P07639	AROB_ECOLI	aroB b3389 JW3352
P75788	YBIR_ECOLI	ybiR b0818 JW0802
P0AA93	YPDA_ECOLI	ypdA b2380 JW5388
P68206	YJBJ_ECOLI	yjbJ b4045 JW4005
P24183	FDNG_ECOLI	fdnG b1474 JW1470
P75916	YCDZ_ECOLI	ycdZ b1036 JW5147
P77690	ARNB_ECOLI	arnB pmrH yfbE b2253 JW5372
P0AC26	NIRC_ECOLI	nirC b3367 JW3330
P0A712	KDGT_ECOLI	kdgT b3909 JW5560
P46130	YBHC_ECOLI	ybhC b0772 JW0755
P67143	YHGN_ECOLI	yhgN b3434 JW3397
P0AFD4	NUOH_ECOLI	nuoH b2282 JW2277
P0ABK2	CYDB_ECOLI	cydB cyd-2 b0734 JW0723
P24171	DCP_ECOLI	dcp b1538 JW1531
P32687	YJBF_ECOLI	yjbF b4027 JW5711
