#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-28	p-aminobenzoyl-glutamate hydrolase complex	PABA-GLU hydrolase|PGH	83333	P76052(1)|P77357(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10053396	GO:0071713(para-aminobenzoyl-glutamate hydrolase activity)|GO:0046657(folic acid catabolic process)|GO:0030145(manganese ion binding)|GO:1902494(catalytic complex)	intenz:3.5.1(identity)|complex portal:CPX-28(complex-primary)|pubmed:20190044(see-also)	Catalyzes the cleavage of the folate breakdown product p-aminobenzoyl-glutamate (PABA-GLU) to form p-aminobenzoate (PABA) and glutamate. Reduced derivatives of folic acid are required for biosynthesis of DNA, RNA, amino acids, and other important cellular components.	Molecular weight = 206 kDa. A secondary 400-500 kDa species has also been observed. Km value for PABA-GLU = 60 uM, specific activity = 63,300 nmol/min/mg.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P76052(1)|P77357(1)
CPX-93	MutS DNA mismatch repair complex 	-	83333	P23909(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-6976263	GO:1990710(MutS complex)|GO:0030983(mismatched DNA binding)|GO:0005524(ATP binding)|GO:0008094(DNA-dependent ATPase activity)|GO:0006298(mismatch repair)|GO:0000287(magnesium ion binding)	wwpdb:1ng9(identity)|wwpdb:1oh5(identity)|wwpdb:1oh6(identity)|wwpdb:1oh7(identity)|wwpdb:1oh8(identity)|wwpdb:1w7a(identity)|wwpdb:1wbb(identity)|wwpdb:1e3m(identity)|wwpdb:1wb9(identity)|wwpdb:1wbd(identity)|wwpdb:2wtu(identity)|wwpdb:3k0s(identity)|wwpdb:2ok2(identity)|complex portal:CPX-93(complex-primary)	Mismatch repair complex, involved in the recognition and repair of base-base and small insertion/deletion mismatches that appear as a consequence of DNA polymerase errors during replication or homologous recombination. Strand recognition necessary for removal of DNA biosynthetic errors from the daughter strand is based on the transient absence of d(GATC) methylation in the newly synthesized DNA strand (hemimethylation). Repair is initiated by the binding of mutS to a mismatch or to a small insertion-deletion loop.	MutS binds DNA as a homodimer. After mismatch recognition, MutS exchanges ADP for ATP and undergoes a conformational change to form a sliding clamp on DNA. By interactions via C-terminal domains, the MutS dimers can form tetramers. Tetrameric MutS has a slow dissociation from DNA, which can be due to occasional bending over and binding DNA in its two binding sites. In contrast, the dimer dissociation is faster, primarily dependent on a combination of the type of mismatch and the flanking sequence.	Homodimer, Homotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P23909(2)
CPX-180	HipBA toxin-antitoxin complex	HipA-HipB complex|HipAB complex|HipAB toxin/antitoxin complex|HipAB DNA-binding transcriptional repressor complex|HipBA DNA-binding transcriptional repressor complex|HipAB TA complex	83333	P23873(2)|P23874(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10919388	GO:0005524(ATP binding)|GO:0001217(bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding)|GO:0043565(sequence-specific DNA binding)|GO:0110001(toxin-antitoxin complex)|GO:0040008(regulation of growth)|GO:0006355(regulation of transcription, DNA-templated)	wwpdb:2wiu(identity)|wwpdb:3dnv(identity)|pubmed:25056321(see-also)|wwpdb:4yg7(identity)|pubmed:19150849(see-also)|pubmed:26222023(see-also)|pubmed:1715862(see-also)|wwpdb:3hzi(identity)|complex portal:CPX-180(complex-primary)	Type II toxin-antitoxin (TA) system formed by the toxin (hipA), and the antitoxin (hipB). TA systems act as effectors of dormancy and persistence, with the toxin causing growth arrest by interfering with a vital cellular process, such as transcription, translation or DNA replication, and the cognate antitoxin neutralizing the toxin activity during normal growth conditions. The protein kinase HipA acts as a persistence factor, inducing multi-drug tolerance by triggering growth arrest. HipA activity is inhibited upon binding to HipB through sequestration to the nucleoid and binding to DNA. Under conditions of stress the antitoxins are selectively degraded by cellular proteases such as Lon (P0A9M0) and ClpXP (CPX-3176), leaving the toxins to exert their effectsl which result in growth arrest and cell dormancy. Both the antitoxin and, in most cases, the TA complex bind the TA promoter to repress transcription, with TA complexes repressing transcription more efficiently than the antitoxins alone by increasing the co-operativity of antitoxin binding to operators. Complex formation prevents the protein kinase HipA acting as a persistence factor, inducing multi-drug tolerance by triggering growth arrest. 	In the HipA-HipB-DNA complex, the HipB dimer is sandwiched on each side by one HipA molecule and the complex is formed from noncontiguous regions of both HipA and HipB.	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P23873(2)|P23874(2)
CPX-243	Respiratory chain complex I	NADH:ubiquinone oxidoreductase|NDH-I|NADH-quinone oxidoreductase|NADH:quinone oxidoreductase|Respiratory complex I	83333	CHEBI:49601(0)|CHEBI:58210(0)|CHEBI:64607(0)|P0AFC3(0)|P0AFC7(0)|P0AFD1(0)|P0AFD4(0)|P0AFD6(0)|P0AFE0(0)|P0AFE4(0)|P0AFE8(0)|P0AFF0(0)|P31979(0)|P33599(0)|P33602(0)|P33607(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0045271(respiratory chain complex I)|GO:0048038(quinone binding)|GO:0008137(NADH dehydrogenase (ubiquinone) activity)|GO:0022904(respiratory electron transport chain)|GO:0070404(NADH binding)|GO:0016021(integral component of membrane)	intenz:1.6.5.11(identity)|complex portal:CPX-243(complex-primary)	Catalyses the first step of electron transport by the oxidation of NADH, thus providing two electrons for the reduction of ubiquinone. Electron transfer is coupled with the translocation of protons across the membrane, generating a proton motive force. Preferred NADH dehydrogenase under anaerobic conditions.	L-shaped complex consisting of a peripheral arm and a membrane arm. Subunits NuoB, CD, E, F, and G constitute the peripheral sector of the complex, subunits NuoA, H, I, J, K, L, M, N constitute the membrane sector.	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AFC3(0)|P0AFC7(0)|P0AFD1(0)|P0AFD4(0)|P0AFD6(0)|P0AFE0(0)|P0AFE4(0)|P0AFE8(0)|P0AFF0(0)|P31979(0)|P33599(0)|P33602(0)|P33607(0)
CPX-268	Cytochrome bd-I ubiquinol oxidase complex	Cytochrome bd-I ubiquinol oxidase|Cytochrome bd-II oxidase	83333	CHEBI:26355(0)|CHEBI:29034(0)|CHEBI:62811(0)|P0ABJ9(0)|P0ABK2(0)|P56100(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-9258537	GO:0006119(oxidative phosphorylation)|GO:0070069(cytochrome complex)|GO:0009055(electron carrier activity)|GO:0019646(aerobic electron transport chain)|GO:0016682(oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor)|GO:0016021(integral component of membrane)	intenz:1.10.3.14(identity)|complex portal:CPX-268(complex-primary)	A protein complex integral to the bacterial electron transport chain. Electrons are donated by the oxidation of ubiquinol to ubiquinone and used to reduce molecular oxygen, generating a proton motive force using protons and electrons from opposite sides of the membrane to generate water.	The oxidase contains three non-covalently bound hemes as cofactors, namely heme b558 functioning as electron acceptor for ubiquinol and hemes b595 and d forming a di-nuclear center to bind and reduce oxygen. The di-heme center is located at the interface of cydA and cydB, cydX may stabilize the di-heme center or it may play a role in its assembly.	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0ABJ9(0)|P0ABK2(0)|P56100(0)
CPX-269	Cytochrome bd-II ubiquinol oxidase complex	cbdAB complex|Cytochrome bd-II oxidase|appBC complex|cyxAB complex	83333	CHEBI:30413(0)|P26458(0)|P26459(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-11178339	GO:0016021(integral component of membrane)|GO:0070069(cytochrome complex)|GO:0016682(oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor)|GO:0019646(aerobic electron transport chain)|GO:0009055(electron carrier activity)|GO:0006119(oxidative phosphorylation)	intenz:1.10.3.10(identity)|complex portal:CPX-269(complex-primary)	A protein complex integral to the bacterial electron transport chain. Electrons are donated by the oxidation of ubiquinol to ubiquinone and used to reduce molecular oxygen, generating a proton motive force using protons and electrons from opposite sides of the membrane to generate water. This complex appears to be expressed under micro-aerobic conditions or under conditions of phosphate starvation.	-	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P26458(0)|P26459(0)
CPX-281	Hydrogenase-1 complex	[NiFe] hydrogenase 1 complex|Hyd1 complex|[NiFe]-hydrogenase/cytochrome b complex|H2ase 1 complex	83333	CHEBI:21137(2)|CHEBI:30413(2)|CHEBI:49786(2)|CHEBI:49883(4)|P0AAM1(1)|P0ACD8(2)|P69739(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16028656	GO:0009061(anaerobic respiration)|GO:0044569([Ni-Fe] hydrogenase complex)|GO:0033748(hydrogenase (acceptor) activity)|GO:0019645(anaerobic electron transport chain)|GO:0006113(fermentation)|GO:0009267(cellular response to starvation)|GO:1990914(integral component of periplasmic side of plasma membrane)|GO:1901691(proton binding)	wwpdb:4gd3(identity)|wwpdb:3uqy(subset)|wwpdb:3use(subset)|wwpdb:4ue3(subset)|wwpdb:3usc(subset)|intenz:1.12.99.6(identity)|wwpdb:5adu(subset)|wwpdb:5a4m(subset)|wwpdb:5a4f(subset)|wwpdb:5a4i(subset)|complex portal:CPX-281(complex-primary)	Catalyzes the reversible oxidation of hydrogen (H2) to protons and electrons. Maximally produced during fermentation and under various types of stress such as carbon and phosphate starvation, osmotic up shift, and stationary phase conditions. Hydrogenase-1 is oxygen tolerant and contains the special proximal (relative to the active site) [Fe4S3] cluster that can rapidly undergo two successive one-electron oxidations within a narrow potential range. The additional two electrons required to reduce the attacking O2 to two water molecules can originate from either the two-electron oxidation of Ni(I) to Ni(III) or the one-electron oxidation of Ni(II) to Ni(III) at the active site, the latter coupled to the one-electron oxidation of the [Fe4S4] medial cluster.	Anchored to the periplasmic side of the cytoplasmic membrane by both the hyaA C-terminal transmembrane alpha helix and an integral membrane b-type cytochrome.	Heteropentamer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AAM1(1)|P0ACD8(2)|P69739(2)
CPX-282	Hydrogenase-2 complex	[NiFe] hydrogenase 2 complex|Hyd-2 complex|H2ase 2 complex	83333	CHEBI:21137(0)|CHEBI:49786(0)|CHEBI:49883(6)|P0AAJ8-PRO_0000042273(0)|P0ACE0-PRO_0000013407(0)|P37180(0)|P69741-PRO_0000013430(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0033748(hydrogenase (acceptor) activity)|GO:0009061(anaerobic respiration)|GO:0048038(quinone binding)|GO:0044569([Ni-Fe] hydrogenase complex)|GO:0019645(anaerobic electron transport chain)|GO:0005887(integral component of plasma membrane)|GO:1901691(proton binding)	intenz:1.12.99.6(identity)|complex portal:CPX-282(complex-primary)	Catalyzes the reversible oxidation of hydrogen (H2) to protons and electrons. Strongly upregulated during microaerobic and anaerobic respiration when H2 is used as an electron donor to reduce menaquinone to its quinol, with subsequent electron transfer to fumarate.	The HybOC core catalytic dimer is probably anchored to the membrane solely via a hydrophobic alpha-helix located at the C-terminus of HybO. The enzyme lacks a typical cytochrome b membrane anchor subunit but instead has an additional electron transfer subunit (HybA) with four predicted iron-sulfur clusters.	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AAJ8-PRO_0000042273(0)|P0ACE0-PRO_0000013407(0)|P37180(0)|P69741-PRO_0000013430(0)
CPX-317	Formate hydrogenlyase-H/Hydrogenase-3 complex	Hyd-3 complex|Hydrogenase 3 complex|Formate hydrogenlyase-H complex|Formate dehydrogenase-H complex|[NiFe] hydrogenase 3 complex|FDH-H complex|FHL complex	83333	CHEBI:49786(1)|CHEBI:49883(7)|CHEBI:60539(1)|P07658(1)|P0AAK1(1)|P16429(0)|P16430(0)|P16431(1)|P16432(0)|P16433(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-11425871	GO:0019645(anaerobic electron transport chain)|GO:0006007(glucose catabolic process)|GO:0008863(formate dehydrogenase (NAD+) activity)|GO:0015944(formate oxidation)|GO:0009326(formate dehydrogenase complex)|GO:0009061(anaerobic respiration)|GO:0016021(integral component of membrane)|GO:0070403(NAD+ binding)	intenz:1.17.1.9(identity)|complex portal:CPX-317(complex-primary)|rhea:RHEA:15985(identity)|intenz:1.17.99.7(identity)|rhea:RHEA:27290(identity)|pubmed:25157147(see-also)	Role in the mixed-acid fermentation that takes place under anaerobic conditions, ultimately producing molecular hydrogen. Consists of two enzymatic activities: a formate dehydrogenase‐H (encoded by fdhF) for producing 2H+, 2 electrons and CO2 from formate and HycE for synthesizing molecular hydrogen (H2) from 2H+ and 2 electrons. HycE catalyzes production of H2 even at high partial pressures of H2.	hycC and hycD appear to be membrane embedded with the remaining 5 components forming a soluble core.	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P07658(1)|P0AAK1(1)|P16429(0)|P16430(0)|P16431(1)|P16432(0)|P16433(1)
CPX-319	Trimethylamine-N-oxide reductase TorAC complex	TMAO reductase	83333	CHEBI:30413(5)|CHEBI:60539(1)|P33225(0)|P33226(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-11428284	GO:0009060(aerobic respiration)|GO:0006885(regulation of pH)|GO:0009055(electron carrier activity)|GO:0030288(outer membrane-bounded periplasmic space)|GO:0019645(anaerobic electron transport chain)|GO:0050626(trimethylamine-N-oxide reductase (cytochrome c) activity)|GO:1904852(trimethylamine-N-oxide reductase (cytochrome c) complex)|GO:0048038(quinone binding)	intenz:1.7.2.3(identity)|complex portal:CPX-319(complex-primary)	Reduces trimethylamine-N-oxide (TMAO) to trimethylamine, enabling its use under anaerobic conditions as an electron acceptor for the oxidation of organic substrates and the production of energy. TorAC is also present under aerobic conditions, when production of alkaline trimethylamine may balance the acidification of the cell caused by generation of acetic acid caused by glycerol utilization.	The folded TorA protein crosses the inner membrane by using the TAT pathway. TorC is oriented towards the periplasm and anchored to the inner membrane by an N-terminal hydrophobic segment. The N-terminal membrane-anchored domain of TorC binds TorA, correctly positioning TorC to transfer electrons directly to the catalytic site of TorA, allowing the reduction of TMAO. The proposed electron transfer pathway is from menaquinones to TorC N-terminus, then from TorC N-terminus to the TorC C-terminus, and finally to TorA.	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P33225(0)|P33226(0)
